,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99
80,2,3,1,1,1,1,2,0,2,1,0,3,0,2,3,4,0,2,0,2,3,1,0,5,3,3,1,1,0,2,2,0,0,0,2,3,2,2,4,2,1,2,1,1,2,1,2,1,2,1,2,3,0,2,1,4,1,3,2,4,5,1,1,1,4,1,2,5,4,4,2,7,3,3,1,3,3,2,1,1,2,2,4,1,3,2,2,1,2,4,1,0,3,4,3,4,2,0,0,4
81,4,2,1,3,0,0,3,2,1,4,1,0,3,3,1,2,2,0,2,4,2,2,0,0,0,4,4,3,1,2,4,3,0,2,0,2,6,2,4,3,1,2,0,4,0,3,1,2,2,0,0,2,2,3,3,0,4,2,1,3,3,2,4,1,1,1,1,2,0,0,3,1,3,1,0,3,1,2,3,4,4,2,5,1,1,1,1,5,3,2,2,2,2,4,4,1,1,1,3,2
82,2,2,2,6,3,1,5,6,3,3,3,1,4,4,0,0,1,6,1,3,1,1,0,2,2,3,3,3,1,1,2,3,3,1,2,0,1,4,5,2,2,5,2,4,0,2,3,3,2,1,3,1,2,2,0,1,3,1,3,1,5,4,2,1,2,1,0,3,3,1,0,2,1,1,0,2,2,1,0,3,2,3,1,1,2,1,0,1,1,2,3,2,2,0,0,0,2,3,3,0
83,7,3,2,2,3,2,3,2,3,4,1,3,5,1,4,1,3,4,1,0,5,1,1,1,2,3,1,2,1,1,3,2,3,1,3,3,1,0,0,2,0,3,7,2,1,3,2,2,0,2,9,2,2,1,1,1,2,3,1,1,4,0,1,2,6,1,1,2,1,3,1,2,4,2,3,3,3,2,0,2,2,2,2,1,0,0,1,3,0,0,0,0,0,1,1,2,1,2,4,0
84,1,3,3,5,4,4,3,1,3,1,1,2,2,1,4,0,3,1,0,6,2,3,1,3,0,3,1,1,5,1,2,4,4,1,2,3,1,2,2,3,1,1,3,3,2,1,1,0,1,2,0,1,2,2,3,1,3,3,1,3,2,2,1,2,0,4,5,3,2,6,2,2,1,0,3,2,1,2,1,1,1,2,2,3,3,1,4,1,1,2,1,2,1,1,2,1,1,2,1,0
85,2,2,4,2,2,3,1,3,1,1,1,1,3,0,3,0,1,2,3,2,1,3,2,1,2,1,3,3,0,2,3,2,2,3,0,1,6,1,1,2,0,0,1,2,2,2,1,4,4,3,3,1,4,6,0,2,6,2,4,0,1,3,1,2,3,5,1,0,0,2,2,2,2,1,2,0,1,3,6,2,1,2,2,1,3,5,0,0,0,2,4,3,2,2,2,3,3,2,0,1
86,2,5,2,3,5,3,4,5,3,2,1,4,6,4,1,3,3,2,2,4,4,1,4,3,1,2,2,2,0,2,2,0,3,6,0,5,1,1,3,1,2,5,0,5,3,1,3,2,6,1,1,3,1,1,1,1,1,2,3,1,2,2,3,0,3,1,0,1,2,1,2,1,0,1,4,0,0,1,1,1,0,3,1,0,3,0,0,3,1,2,0,1,2,0,0,2,1,4,0,1
87,4,3,2,5,3,3,0,2,2,2,4,1,2,3,2,3,3,3,3,3,0,1,2,2,1,1,3,3,1,1,3,0,1,0,4,2,1,2,2,1,3,1,2,0,3,6,2,1,6,3,2,0,0,1,1,1,3,2,1,4,3,1,0,3,1,0,2,0,0,1,3,2,1,4,1,2,3,5,1,2,0,1,4,1,3,1,1,1,0,1,4,1,1,2,2,4,3,5,1,3
88,0,2,1,1,4,2,1,2,1,4,1,2,3,0,4,1,1,0,3,3,3,4,3,2,2,5,0,2,1,3,0,3,2,2,3,3,1,4,1,3,1,1,2,2,3,2,4,4,2,1,1,1,2,0,2,0,1,1,1,3,2,3,0,1,1,2,2,2,2,4,1,0,3,3,3,2,2,2,2,2,3,3,1,1,3,1,1,4,5,0,3,1,2,4,1,2,5,0,2,2
89,0,2,3,0,2,0,0,0,0,0,3,2,1,0,3,2,1,0,1,1,2,0,1,0,2,0,1,1,2,2,4,2,1,4,2,5,0,2,3,3,1,3,1,1,3,1,2,4,3,3,2,3,3,1,4,2,1,1,2,1,3,2,1,1,4,3,3,2,0,2,0,1,3,3,1,2,3,4,2,2,3,4,3,3,5,2,5,4,0,5,2,3,3,0,3,2,3,2,3,3
90,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,2,1,1,1,1,3,3,2,0,0,2,1,1,2,3,1,1,4,2,2,1,1,0,2,2,3,5,0,6,3,3,0,1,4,4,1,4,3,1,0,0,3,3,0,6,2,2,2,3,7,1,4,4,3,0,1,3,1,1,3,2,1,5,2,2,1,7,6,2,5,3,4,1,2,6,5,6,3,4
91,0,0,0,0,1,1,0,0,4,2,3,1,0,5,0,0,1,2,1,2,1,2,2,1,2,0,3,1,3,0,4,3,1,2,0,0,0,2,2,3,4,2,1,1,5,2,1,0,3,2,2,2,3,0,4,3,2,1,1,3,0,6,3,0,2,2,3,1,4,2,2,1,3,1,3,5,0,2,1,0,5,6,1,2,3,4,1,1,0,3,3,3,5,3,7,4,3,3,5,0
92,2,2,2,4,1,3,2,3,1,2,2,2,6,3,3,2,3,2,2,5,3,3,0,0,2,5,1,0,1,3,4,2,3,3,2,2,3,2,2,4,0,1,6,3,5,2,2,2,0,1,2,2,4,2,1,0,2,3,3,2,1,2,3,1,1,1,3,0,3,3,3,3,1,2,1,2,1,1,4,1,2,0,2,1,1,4,2,1,3,0,1,0,2,0,3,1,0,0,0,0
93,1,4,2,3,2,3,1,2,1,1,2,3,1,2,0,3,3,3,2,1,5,3,2,3,1,0,2,3,2,2,3,5,2,3,5,2,3,2,1,2,0,4,0,2,3,1,3,0,2,0,0,2,1,2,3,1,0,4,1,3,1,0,2,5,2,3,1,1,1,2,0,3,2,3,2,0,4,4,2,5,2,2,2,2,2,0,1,1,1,2,0,3,2,2,1,0,3,2,1,5
94,0,0,3,3,2,0,0,2,1,0,2,0,2,1,0,1,5,4,2,1,0,3,2,1,2,1,2,3,1,2,0,2,4,1,3,0,4,4,1,3,0,1,1,6,3,4,0,0,4,5,2,0,2,5,5,1,2,0,2,3,3,4,1,0,2,2,2,2,2,2,3,1,0,2,3,4,3,3,2,2,5,3,2,3,0,3,4,2,3,3,2,2,1,2,0,0,3,3,1,1
95,0,0,2,3,1,9,1,2,2,2,1,2,5,2,5,0,4,1,1,2,4,1,1,4,2,0,2,4,2,2,2,0,2,1,3,2,3,3,2,4,5,2,1,3,2,1,3,3,2,3,2,2,6,1,1,3,0,1,0,3,4,1,2,0,4,2,2,2,1,2,2,1,2,0,1,0,2,3,2,1,2,4,1,1,1,0,4,1,1,4,1,1,1,1,0,2,2,2,2,2
96,4,0,0,2,5,4,5,1,2,1,4,3,2,1,4,2,5,3,0,2,2,2,2,3,4,3,3,2,2,2,1,3,1,2,4,3,2,1,5,3,1,7,0,1,1,2,1,2,2,1,3,1,1,2,3,0,3,4,1,2,1,0,2,1,2,1,1,1,2,0,2,2,1,1,1,2,2,1,2,3,3,1,1,1,1,0,1,4,2,2,1,3,3,0,5,0,2,3,1,0
97,4,4,2,1,3,3,1,1,5,1,6,7,1,3,2,0,3,5,3,3,1,4,2,4,3,0,4,3,0,1,5,5,3,5,0,1,2,2,4,0,2,5,3,5,2,0,1,2,4,2,2,2,1,3,2,1,0,1,0,4,0,3,1,2,0,3,1,2,0,2,3,1,2,4,4,0,2,3,2,3,1,1,2,0,1,0,0,0,1,0,0,0,1,2,0,1,1,0,2,0
98,2,1,2,1,1,1,4,1,2,2,1,2,2,2,3,2,4,3,1,3,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,0,0,3,3,2,2,3,0,1,4,4,3,2,0,4,2,2,2,3,2,2,1,1,2,1,2,3,1,3,1,0,2,1,2,2,4,0,5,2,1,1,2,4,5,2,0,1,1,0,4,1,6,2,1,4,5,1,2,2,1,1,1,6,2,2
99,2,1,2,0,1,0,0,3,1,2,1,1,3,1,3,1,1,2,1,1,2,3,11,3,1,2,6,2,1,2,2,3,2,4,2,1,1,3,1,4,1,3,2,1,1,1,4,1,3,3,1,4,4,2,1,3,3,0,2,1,1,5,1,2,3,3,1,3,3,1,2,3,1,3,1,3,2,0,2,2,2,0,0,1,2,2,1,2,4,2,1,3,3,1,2,0,3,1,2,2
